Bank Name,Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions)
Security Savings Bank,15-Oct-10,$508.40 ,$397.00 
Shoreline Bank,01-Oct-10,$104.20 ,$100.20 
Wakulla Bank,01-Oct-10,$424.10 ,$386.30 
North County Bank,24-Sep-10,$288.80 ,$276.10 
Haven Trust Bank Florida,24-Sep-10,$148.60 ,$133.60 
Maritime Savings Bank,17-Sep-10,$350.50 ,$248.10 
Bramble Savings Bank,17-Sep-10,$47.50 ,$41.60 
The Peoples Bank,17-Sep-10,$447.20 ,$398.20 
First Commerce Community Bank,17-Sep-10,$248.20 ,$242.80 
Bank of Ellijay,17-Sep-10,$168.80 ,$160.70 
ISN Bank,17-Sep-10,$81.60 ,$79.70 
Horizon Bank,10-Sep-10,$187.80 ,$164.60 
Sonoma Valley Bank,20-Aug-10,$337.10 ,$255.50 
Los Padres Bank,20-Aug-10,$870.40 ,$770.70 
Butte Community Bank,20-Aug-10,$498.80 ,$471.30 
Pacific State Bank,20-Aug-10,$312.10 ,$278.80 
ShoreBank,20-Aug-10,"$2,160.00 ","$1,540.00 "
Imperial Savings and Loan Association,20-Aug-10,$9.40 ,$10.10 
Independent National Bank,20-Aug-10,$156.20 ,$141.90 
Community National Bank at Bartow,20-Aug-10,$67.90 ,$63.70 
Palos Bank and Trust Company,13-Aug-10,$493.40 ,$467.80 
Ravenswood Bank,06-Aug-10,$264.60 ,$269.50 
LibertyBank,30-Jul-10,$768.20 ,$718.50 
The Cowlitz Bank,30-Jul-10,$529.30 ,$513.90 
Coastal Community Bank,30-Jul-10,$372.90 ,$363.20 
Bayside Savings Bank,30-Jul-10,$66.10 ,$52.40 
NorthWest Bank and Trust,30-Jul-10,$167.70 ,$159.40 
Home Valley Bank,23-Jul-10,$251.80 ,$229.60 
SouthwestUSA Bank,23-Jul-10,$214.00 ,$186.70 
Community Security Bank,23-Jul-10,$108.00 ,$99.70 
Thunder Bank,23-Jul-10,$32.60 ,$28.50 
Williamsburg First National Bank,23-Jul-10,$139.30 ,$134.30 
Crescent Bank and Trust Company,23-Jul-10,"$1,010.00 ",$965.70 
Sterling Bank,23-Jul-10,$407.90 ,$372.40 
Mainstreet Savings Bank,16-Jul-10,$97.40 ,$63.70 
Olde Cypress Community Bank,16-Jul-10,$168.70 ,$162.40 
Turnberry Bank,16-Jul-10,$263.90 ,$196.90 
